Agency,2020,2021,2022,2023,2024,2025
AB,,1601.0,,10858996.0,1253451.0,2344259.0
BC,,,,4816438.0,455156.0,543114.0
Canada,223017.0,357615.0,19017.0,62185606.0,4361980.0,28108415.0
MB,37707.0,208563.0,1948.0,6726301.0,580365.0,5848044.0
NB,540.0,,,8857.0,,93424.0
NL,,,,397416.0,9452.0,892962.0
NS,152.0,,185.0,130518.0,,85253.0
NT,,13628.0,,9827374.0,417529.0,1639573.0
NU,,,,4558827.0,61069.0,3301196.0
ON,146376.0,101812.0,,10079574.0,647260.0,5803262.0
PE,,,,7810.0,,7689.0
QC,,20317.0,5723.0,6325055.0,86982.0,4153718.0
SK,38242.0,11694.0,6092.0,8266416.0,844923.0,3393505.0
YT,,,5069.0,182024.0,5793.0,2416.0
